,0,1,2
0,999,0.714986011147499,14.965586469561499
,0,1,2
0,999,0.6868760426938534,14.923147054069133
,0,1,2
0,1999,0.8576383538842202,20.035099167677643
,0,1,2
0,999,0.7515667078495025,16.436350599644506
,0,1,2
0,1999,0.8613026131391526,20.044048172004505
,0,1,2
0,2999,0.8699039737582207,20.757006089944458
,0,1,2
0,3999,0.8759222048223019,21.07389929947706
,0,1,2
0,4999,0.8820397599935531,21.48448282841808
,0,1,2
0,5999,0.8868724584579468,21.673814758204543
,0,1,2
0,6999,0.8838085199296475,21.80171602283638
,0,1,2
0,7999,0.8864861512482166,21.800517784370836
,0,1,2
0,8999,0.8887782892584801,21.524218919405993
,0,1,2
0,9999,0.8889522067904473,22.201537529161346
,0,1,2
0,10999,0.8956861244440079,22.566245394754933
,0,1,2
0,11999,0.8948293071985245,22.17276322541318
,0,1,2
0,12999,0.89454700756073,22.288070303354665
,0,1,2
0,13999,0.8956101086735725,22.393733901768194
,0,1,2
0,14999,0.893762548983097,22.497815662361273
,0,1,2
0,15999,0.8931347231864929,22.20398431207879
,0,1,2
0,16999,0.9011705084443092,22.821091592844677
,0,1,2
0,17999,0.8989951241612434,22.685792640444664
,0,1,2
0,18999,0.8968846197724343,22.310324892169003
,0,1,2
0,19999,0.8942042496204377,22.595951608979153
,0,1,2
0,20999,0.8995853771567345,22.56207130414692
,0,1,2
0,21999,0.9020571413040162,22.75450308304938
,0,1,2
0,22999,0.8966394094824791,22.503700945914318
,0,1,2
0,23999,0.9010873486399651,22.771328215181438
,0,1,2
0,24999,0.9032591949105263,22.808014972115902
,0,1,2
0,25999,0.9024741505384445,22.778102096147947
,0,1,2
0,26999,0.8866496455073357,21.81239101612293
,0,1,2
0,27999,0.8978915934562683,22.16720310331312
,0,1,2
0,28999,0.9025392661690712,22.662981438798962
,0,1,2
0,29999,0.9047168725728989,22.65753149043285
,0,1,2
0,999,0.697705344825983,14.157068949941669
,0,1,2
0,1999,0.8435630142986774,18.906228720396307
,0,1,2
0,999,0.7830247879326343,17.020566793572247
,0,1,2
0,1999,0.844786151111126,19.59681468852158
,0,1,2
0,2999,0.8685300923585891,20.682151717942883
,0,1,2
0,3999,0.8687745323777198,20.394190897387773
,0,1,2
0,4999,0.8768550380468368,21.17511014280744
,0,1,2
0,5999,0.8784650834798813,21.33536668595583
,0,1,2
0,6999,0.8750366973280906,20.975615441215687
,0,1,2
0,7999,0.8779770726561547,21.35738348643117
,0,1,2
0,8999,0.8854817007184028,21.78143700972289
,0,1,2
0,9999,0.8858710672855378,22.02106190837823
,0,1,2
0,10999,0.8872249063849449,21.989755785304354
,0,1,2
0,11999,0.885463871896267,21.567039384932382
,0,1,2
0,12999,0.8913029283285141,22.324812650391333
,0,1,2
0,13999,0.8948703254461289,22.341508994259378
,0,1,2
0,14999,0.892135624051094,22.17009696107488
,0,1,2
0,15999,0.890089783012867,21.90541631640333
,0,1,2
0,16999,0.8931719154715538,22.39658575949802
,0,1,2
0,17999,0.896238834798336,22.60041943854518
,0,1,2
